Наименование,Брой на студентите в колежи и университети на 1000 души,,,,,,,,,,,,,"Нетен коефициент на записване на населението V-VII, %",,,,,,,"Дял на  оценките на ДЗИ по български език и литература под среден 3,00, %",,,,,,,,,,,,,,"Среден успех на ДЗИ по български език и литература, /6",,,,,,,,,,,,,,"Среден успех на НВО след 7 клас по математика, в точки/100",,,,,,,,"Индекс на съответствието между ПОО и заетостта, в точки/100",,,,Дял на децата в детските градини (Групов нетен коефициент на записване),,,,,,,,,,,,
Кюстендил,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2,89.8,88.6,92.9,90.2,90.8,90.9,8.0,5.2,4.0,10.0,12.5,9.0,7.7,11.7,12.4,9.0,21.7,26.1,8.9,16.0,4.19,4.28,4.30,4.07,3.97,4.12,3.95,3.96,4.08,4.04,3.76,3.58,4.20,4.07,27.3,28.6,30.0,31.4,28.2,28.3,35.8,35.3,35.2,36.7,35.1,32.9,84.7,87.1,85.7,84.0,83.7,81.1,81.3,80.3,81.3,81.6,86.3,87.7,89.5
Ловеч,1.3,1.6,1.8,1.9,1.6,1.6,1.6,1.5,1.5,1.3,1.2,1.1,0.8,90.6,88.6,86.7,87.1,86.3,86.8,86.3,3.6,2.5,3.0,6.2,9.9,8.4,7.0,12.8,8.0,8.4,22.4,24.9,10.1,17.0,4.29,4.46,4.35,4.26,4.12,4.26,3.98,4.00,4.19,4.13,3.82,3.63,4.10,3.95,26.0,29.7,29.8,29.5,26.1,27.5,34.9,35.1,43.9,36.4,31.2,50.2,82.9,84.1,82.7,78.5,78.4,79.9,79.6,78.6,77.4,79.6,85.0,86.4,88.3
Монтана,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.9,81.1,83.0,81.8,86.9,87.6,87.9,9.4,6.4,6.9,10.7,12.4,6.7,5.7,6.6,6.5,5.8,17.2,19.5,8.4,14.0,4.10,4.17,4.19,4.04,3.88,4.04,3.82,3.95,4.15,3.94,3.78,3.64,4.07,3.97,26.6,25.2,27.8,30.1,27.8,27.7,35.2,32.6,36.2,43.1,43.2,42.9,82.6,85.2,83.1,81.1,78.2,77.7,76.5,75.4,74.9,77.4,85.3,86.6,86.4
Пазарджик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,82.4,79.8,78.4,88.9,86.9,87.8,6.8,6.9,5.8,6.6,14.6,15.3,10.0,13.5,13.2,11.7,21.2,25.3,13.5,17.0,4.10,4.13,4.24,4.21,4.01,3.96,3.84,3.95,4.07,4.03,3.80,3.54,4.10,3.97,27.6,30.4,31.3,30.9,30.1,29.5,37.5,38.0,50.5,40.2,46.6,46.7,74.3,76.8,77.4,74.8,73.8,70.6,70.4,71.2,71.4,72.3,84.6,86.3,87.9
Перник,2.4,2.8,2.3,1.7,0.3,0.5,0.7,0.5,0.4,0.4,0.6,0.7,1.9,90.7,91.6,89.6,91.0,90.4,89.7,90.8,4.5,5.3,5.6,8.1,8.3,9.0,6.4,7.5,7.6,6.6,18.2,28.0,6.7,12.0,4.12,4.16,4.25,4.12,4.06,4.17,4.03,4.04,4.13,4.06,3.79,3.64,4.21,4.05,26.8,29.6,28.7,32.0,28.4,29.2,35.7,35.2,50.6,52.4,56.6,49.9,82.7,84.6,87.7,84.6,86.0,85.8,87.0,88.6,87.7,87.7,88.6,90.4,92.8
Плевен,6.3,7.6,7.3,8.5,9.5,12.4,13.4,15.4,15.5,15.9,16.2,14.9,17.0,88.6,87.0,87.3,85.6,90.4,90.6,90.5,8.0,8.7,7.9,10.2,14.7,13.5,11.5,14.3,13.0,11.5,25.7,27.8,17.8,17.0,4.06,4.13,4.10,4.01,3.96,3.98,3.71,3.94,4.00,3.97,3.61,3.51,3.90,3.96,26.4,26.8,28.8,31.8,28.0,28.0,36.3,37.1,54.3,54.3,57.8,55.6,84.2,85.5,84.9,82.0,77.4,77.0,75.1,76.2,75.4,76.3,85.7,88.1,89.9
Пловдив,57.7,57.5,59.9,57.5,54.8,51.6,51.1,52.1,53.0,53.3,54.4,49.7,53.0,88.6,87.8,87.4,87.6,91.8,90.8,90.5,5.0,4.9,4.6,7.0,8.6,6.3,4.8,7.2,7.4,6.0,15.5,16.1,7.3,11.0,4.29,4.34,4.34,4.31,4.27,4.33,4.19,4.25,4.33,4.30,4.10,3.95,4.43,4.28,29.7,34.7,36.7,38.7,35.0,35.3,42.5,42.3,56.2,51.3,50.8,53.0,82.1,85.0,84.2,82.2,79.1,79.1,78.5,78.8,78.7,79.3,87.5,87.9,88.3
Разград,2.4,2.5,2.8,2.7,2.4,2.2,2.1,2.1,2.1,2.3,2.3,1.9,1.9,88.2,85.4,85.5,85.5,92.7,91.8,90.8,12.1,12.1,10.8,12.9,15.4,12.2,8.5,14.9,11.6,9.9,26.9,27.5,15.3,22.0,3.82,3.90,3.91,3.88,3.84,3.92,3.74,3.80,4.02,3.96,3.53,3.50,3.88,3.73,25.7,30.1,31.1,31.2,29.1,25.9,33.9,32.4,59.1,52.4,52.8,56.2,91.6,92.8,91.4,83.7,82.1,81.6,82.2,84.5,83.3,80.6,90.3,89.3,89.9
Русе,44.3,42.6,41.5,37.3,34.2,31.2,28.9,28.6,28.5,27.2,28.2,24.8,25.9,84.9,84.4,84.5,83.8,92.4,90.8,89.8,6.0,4.6,5.6,5.2,5.4,6.2,3.0,5.9,6.0,4.7,17.2,17.5,8.1,8.0,4.11,4.27,4.20,4.21,4.19,4.17,4.05,4.13,4.25,4.19,3.88,3.82,4.28,4.24,30.8,35.0,35.2,39.1,35.9,35.6,42.3,41.2,59.0,58.0,57.0,53.1,86.6,86.6,85.9,81.4,79.1,76.2,77.7,78.4,77.9,78.0,90.9,90.8,90.6
Силистра,3.6,3.8,4.4,4.0,3.3,2.5,2.1,2.2,2.4,2.5,2.7,2.6,2.4,80.3,79.8,80.2,77.8,88.8,88.2,87.9,5.1,4.0,3.5,9.0,13.9,13.2,12.3,17.7,15.1,10.9,20.1,19.9,12.8,17.0,4.13,4.13,4.15,3.88,3.80,3.95,3.65,3.77,3.86,3.94,3.65,3.69,3.99,3.88,27.0,26.2,26.7,30.3,26.9,26.8,34.2,36.4,63.0,57.6,56.9,60.2,82.1,81.3,80.4,78.9,76.4,75.9,75.8,75.9,75.8,76.3,87.4,88.5,87.9
