Наименование,Относителен дял на населениeто на възраст между 25 и 64 навършени години с висше образование (%),,,,,,,,,,,,,Относителен дял на населението на възраст между 25 и 64 навършени години с основно и по-ниско образование (%),,,,,,,,,,,,,"Средногодишен коефициент на безработица, %",,,,,,,,,,,,,"Средногодишен коефициент на заетост на населението на 20-64 години, %",,,,,,,,,,,,,,,"Дял на населението в трудоспособна възраст,%",,,,,,,,,,,,
Кюстендил,19.4,22.5,23.7,23.7,24.8,25.2,22.3,21.5,24,23.9,23,26.0,27.7,9.3,9.7,12.7,14.3,12,11.5,9.6,5.6,7.1,6.4,4,3.9,5.2,14.5,14.6,13.6,11.7,10.6,9.4,8.4,7.4,9.2,7.8,7.8,7.7,7.9,65.8,62.4,62.0,60.9,61.2,64.6,68.9,70.0,71.2,73.2,71.4,76.6,77.8,78.9,74.3,58.4,58.1,57.3,56.8,56.6,56.2,55.9,55.7,56.0,56.0,55.7,55.6,55.5
Ловеч,16.4,15.8,18.6,20.5,17.3,17.8,20.9,19.1,20.5,17.5,13.8,17.6,22.7,18.8,21.8,22.3,20,23,22.4,15.6,13.5,14.9,15.2,12.9,13.7,16.4,16,16.6,16.8,15.8,13.8,11.7,9.7,9.2,11.2,8.3,9.1,9.6,9.0,68.2,60.3,57.8,56.4,55.0,58.6,57.1,62.3,66.1,72.7,68.9,69.2,74.1,70.4,69.7,56.4,56.3,55.8,55.5,55.6,55.4,55.2,55.2,55.3,55.5,54.8,54.7,54.6
Монтана,18.1,18.4,17.1,17.3,16.4,14.4,12.6,10,11.3,14,17.9,15.5,20.2,16.3,15.6,18.6,19.5,18.5,21,25.6,30.3,28.2,24.1,17.3,17.2,21.7,20.7,20.5,21.8,20.4,18.2,14.9,12.1,11.7,13.0,10.8,11.7,12.3,12.0,62.3,57.5,58.8,57.8,60.4,58.3,57.7,61.8,56.4,52.1,56.1,56.9,59.9,61.6,61.3,56.7,56.6,56.1,55.9,55.9,55.7,55.6,55.6,55.8,56.2,55.2,55.1,55
Пазарджик,16.8,16.6,15.3,16.8,18.8,19.1,17.8,17.5,15.6,15.2,14.5,14.9,19.6,28,26.1,26.9,26.6,25.7,22.9,23.2,22.8,24.2,27.2,25.6,23.1,18.6,16.1,16.6,15.9,14.5,12.4,10.4,9,7.9,9.7,7.3,7.3,8.0,8.3,62.4,59.4,56.8,60.3,63.8,64.0,64.7,69.5,68.9,73.8,72.4,70.7,75.0,75.3,75.1,61.8,61.6,61.0,60.8,60.5,60.2,59.9,59.5,59.5,59.5,57.8,57.4,57.1
Перник,16.6,16.9,17.8,22.5,18.6,19.9,23.8,21.4,25.1,18,15.5,17.1,25.5,13.1,11.9,12.6,10.3,10.2,10.5,12.4,13.4,11.3,11.3,14.7,17.2,15.6,10.3,10.2,10.9,9.2,7.3,5.7,4.8,4.4,5.8,4.6,4.3,4.1,4.2,65.9,64.8,66.1,65.0,65.9,66.1,65.0,71.6,70.8,74.5,74.1,75.4,73.9,72.5,72.4,60.0,59.8,59.2,58.9,58.7,58.3,57.8,57.7,57.9,58.2,57.1,57.1,57.1
Плевен,21.7,22.9,23.6,24.5,24.1,24.5,24.1,23.1,25.4,24.7,22.8,25.1,30.7,20.4,16.6,18.8,18.1,19.3,19.4,18.8,20.8,19.1,19.9,19.7,17.1,15.4,16,17.2,17.1,15.6,13.9,11.2,9.8,8.6,10.1,7.8,7.6,7.3,7.6,58.1,58.6,59.0,61.5,61.4,65.9,64.4,66.4,69.2,68.7,66.3,66.6,67.8,72.9,76.5,57.5,57.3,56.7,56.4,56.1,55.8,55.5,55.3,55.4,55.6,54.9,54.7,54.7
Пловдив,22.6,23.4,25.1,25.4,25.2,26.7,27,26,26.4,26,26.9,30.9,33.1,19.4,19.3,19.9,19.7,19.7,18.9,20.3,20.2,19.7,19.2,17.8,15.2,14.2,9.6,10.1,9.5,8.4,6.6,5.6,4.7,4.3,6.2,4.6,4.1,4.2,4.5,63.7,62.6,64.5,65.4,66.5,66.2,65.8,73.9,74.4,75.2,73.0,70.2,71.4,75.0,74.9,61.9,61.8,61.2,60.9,60.8,60.6,60.4,60.2,60.4,60.6,59.2,59.1,59.2
Разград,14,13.7,16.2,18.7,18.4,17.5,20,18.8,19.5,21.1,24.9,23.5,26.0,40.6,41.9,40.9,36.7,36.3,38.8,36.6,31.6,30.7,34.1,31.3,28.7,24.6,17.9,18.4,18,16.2,14.2,11.9,10.3,9.7,10.8,8.8,9.4,9.7,9.8,51.3,55.4,55.3,54.6,58.4,60.3,59.1,62.8,60.6,66.0,65.5,60.0,64.2,64.5,66.4,62.0,61.9,61.3,61.0,60.7,60.3,60.0,59.7,59.8,59.9,58.2,57.9,57.5
Русе,22.1,23.6,23.6,24.4,26.8,27.7,29.1,30.9,31.2,30.9,29,28.9,33.8,17.9,19.1,19.6,16.7,17.1,16.8,12.9,11.4,11.7,11.6,11.1,11,9.6,10.1,10.4,9.5,8.4,7.3,6.4,5.8,5.6,7.6,5.4,5.6,5.5,5.9,66.4,61.8,62.4,61.9,60.2,64.1,66.4,68.9,72.2,74.3,76.7,76.5,77.2,78.6,81.1,61.1,61.1,60.5,60.2,60.1,59.7,59.5,59.2,59.3,59.6,57.2,57.0,57
Силистра,15.8,15.1,14.4,16.4,18.5,17.7,16.9,19.5,20.8,22.6,21.6,20.4,26.1,34.8,32.4,32.5,33.3,35.2,35.1,32.7,30.4,30.7,28.2,26.5,27.1,26.6,18.8,19.5,19.3,16.5,14.9,13.4,12.2,11.0,12.3,9.4,10.4,10.7,11.2,56.5,53.6,54.1,51.9,54.0,52.9,56.0,60.2,64.4,63.0,58.8,60.5,61.2,63.6,64.9,59.9,59.6,59.0,58.6,58.2,57.8,57.6,57.4,57.5,57.6,55.6,55.3,55.1
Сливен,18.7,20.5,22.5,21.8,21.4,21.2,21.1,20.9,21.4,20.1,21.1,23.2,26.2,30.7,30.2,30.1,28.8,29.3,29.2,33.4,37.6,36.2,38.2,37.8,34.3,33.3,17.1,19,19.2,17.1,14.7,12.3,10.3,9.6,11.0,8.4,7.9,8.1,8.0,59.2,57.9,55.6,56.0,56.4,60.1,63.8,64.1,66.2,68.5,68.4,66.6,65.8,70.1,72.8,59.4,59.1,58.5,58.1,57.9,57.6,57.2,57.0,57.0,57.2,55.0,55.0,55
Смолян,18.2,20,21,21.7,23.2,23.8,22.5,23.5,23.5,24.3,24.3,24.9,31.1,23.5,22,22,21.8,18.9,15.5,15.3,14.3,14,12.9,13,13,11.1,20.4,19.6,19.8,17.8,14.6,11.1,9.9,8.4,10.6,8.6,10.0,10.2,9.7,59.6,55.3,59.4,63.2,65.2,67.4,67.1,72.2,72.2,70.5,69.9,69.4,72.0,74.7,78.7,64.0,63.5,62.5,61.6,61.0,60.1,59.4,58.7,58.1,57.7,56.5,56.0,55.5
